long;lat;nombre;domicilio;observ;nro_est;horario;dire_norm;;;;;;;
-58,39245207;-34,58313308;Facultad de Derecho;Av. Pres.Figueroa Alcorta y  Juan A.Bibiloni;Abril 2015 (pasó de ser Manual a Automática);1;Estación automática: disponibilidad las 24 horas;FIGUEROA ALCORTA, PRES. AV. y BIBILONI, JUAN A.;;;;;;;
-58,37482179;-34,59258881;Retiro;Av. Dr.Jose Ramos Mejia y Del Libertador Av;Abril 2015 (pasó de ser Manual a Automática);2;Estación automática: disponibilidad las 24 horas;DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.;;;;;;;
-58,36891784;-34,61124202;Aduana;Av. Ing.Huergo y Av. Belgrano;Abril 2015 (pasó de ser Manual a Automática);3;Estación automática: disponibilidad las 24 horas;HUERGO, ING. AV. y BELGRANO AV.;;;;;;;
-58,36895038;-34,60172109;Plaza Roma;Lavalle y Bouchard;Abril 2015 (pasó de ser Manual a Automática);4;Estación automática: disponibilidad las 24 horas;LAVALLE y BOUCHARD;;;;;;;
-58,36970867;-34,62830131;Parque Lezama;Av Martín García e Irala;Abril 2015 (pasó de ser Manual a Automática);6;Estación automática: disponibilidad las 24 horas;GARCIA, MARTIN AV. e IRALA;;;;;;;
-58,42099704;-34,58012734;Plaza Italia;Av. Santa Fe y Av. Sarmiento;Abril 2015 (pasó de ser Manual a Automática);5;Estación automática: disponibilidad las 24 horas;SARMIENTO AV. y CALZADA CIRCULAR PLAZA ITALIA;;;;;;;
-58,3809896;-34,6058405;Obelisco;Av. 9 de Julio y Tte. Gral Juan Domingo Perón;Abril 2015 (pasó de ser Manual a Automática);7;Estación automática: disponibilidad las 24 horas;PELLEGRINI, CARLOS y PERON, JUAN DOMINGO, TTE. GENERAL;;;;;;;
-58,38925326;-34,60993046;Congreso;Av. Hipólito Yrigoyen y Virrey Ceballos;Abril 2015 (pasó de ser Manual a Automática);8;Estación automática: disponibilidad las 24 horas;YRIGOYEN, HIPOLITO AV. y CEVALLOS, VIRREY;;;;;;;
-58,40714467;-34,58391457;Parque Las Heras;Parque Las Heras;Abril 2015 (pasó de ser Manual a Automática);9;Estación automática: disponibilidad las 24 horas;DIAZ, CNEL. AV. y FRENCH;;;;;;;
-58,36574586;-34,61555143;Puerto Madero - UCA;Moreau de Justo 1500;Abril 2015 (pasó de ser Manual a Automática);10;Estación automática: disponibilidad las 24 horas;1500 MOREAU DE JUSTO, ALICIA AV.;;;;;;;
