long;lat;nombre;domicilio;nro_est;dire_norm;capacidad;cluster;lat_centroide;long_centroide
-58,39245207;-34,58313308;Facultad de Derecho;Av. Pres.Figueroa Alcorta y  Juan A.Bibiloni;1;FIGUEROA ALCORTA, PRES. AV. y BIBILONI, JUAN A.;20;1;-34,58845369;-58,39319024
-58,37482179;-34,59258881;Retiro;Av. Dr.Jose Ramos Mejia y Del Libertador Av;2;DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.;12;18;-34,59447543;-58,37628321
-58,36891784;-34,61124202;Aduana;Av. Ing.Huergo y Av. Belgrano;3;HUERGO, ING. AV. y BELGRANO AV.;12;14;-34,61491153;-58,36574412
-58,36895038;-34,60172109;Plaza Roma;Lavalle y Bouchard;4;LAVALLE y BOUCHARD;12;5;-34,60320526;-58,37034242
-58,42099704;-34,58012734;Plaza Italia;Av. Santa Fe y Av. Sarmiento;5;SARMIENTO AV. y CALZADA CIRCULAR PLAZA ITALIA;42;11;-34,57416223;-58,41699018
-58,36970867;-34,62830131;Parque Lezama;Av Martin Garcia e Irala;6;GARCIA, MARTIN AV. e IRALA;12;15;-34,62707235;-58,37307255
-58,3809896;-34,6058405;Obelisco;Av. 9 de Julio y Tte. Gral Juan Domingo Peron;7;PELLEGRINI, CARLOS y PERON, JUAN DOMINGO, TTE. GENERAL;10;12;-34,60280939;-58,38223635
-58,38925326;-34,60993046;Congreso;Av. Hipolito Yrigoyen y Virrey Ceballos;8;YRIGOYEN, HIPOLITO AV. y CEVALLOS, VIRREY;24;13;-34,61087343;-58,39112781
-58,40714467;-34,58391457;Parque Las Heras;Parque Las Heras;9;DIAZ, CNEL. AV. y FRENCH;24;23;-34,58245986;-58,40662574
-58,36574586;-34,61555143;Puerto Madero - UCA;Moreau de Justo 1500;10;1500 MOREAU DE JUSTO, ALICIA AV.;12;14;-34,61491153;-58,36574412
-58,38502161;-34,60131281;Tribunales;Tribunales;11;651 TALCAHUANO;12;12;-34,60280939;-58,38223635
-58,38894887;-34,59317728;Plaza Vicente Lopez;Plaza Vicente Lopez;12;PARANA y JUNCAL;10;1;-34,58845369;-58,39319024
-58,40659928;-34,609622;Once;Plaza Miserere;13;RIVADAVIA AV. y PUEYRREDON AV.;20;6;-34,61401247;-58,40832707
-58,42631986;-34,5777875;Pacifico;Pacifico;14;580 BULLRICH, INT. AV.;20;21;-34,58015377;-58,43447518
-58,37471724;-34,60995934;Legislatura (ex Plaza de Mayo);Peru y Diagonal Sur;16;PERU y ROCA, JULIO A., PRESIDENTE AV.;12;2;-34,6137215;-58,37767926
-58,41883221;-34,60639853;Plaza Almagro;Plaza Almagro;17;BULNES y PERON, JUAN DOMINGO, TTE. GENERAL;12;4;-34,60324799;-58,41692913
-58,38048066;-34,61737315;Independencia;Av. Independencia y 9 de Julio;18;INDEPENDENCIA AV. y 9 DE JULIO AV.;12;2;-34,6137215;-58,37767926
-58,37754893;-34,59540479;Plaza San Martin;Plaza San Martin;19;750 SANTA FE AV.;24;18;-34,59447543;-58,37628321
-58,44178851;-34,58003612;Distrito Audiovisual;Zapiola y Dorrego;20;1 ZAPIOLA;12;21;-34,58015377;-58,43447518
-58,40661339;-34,64002924;Parque Patricios;Iguazu y Uspallata;21;IGUAZU y USPALLATA;24;9;-34,63585199;-58,40822621
-58,38257046;-34,59409984;Arenales;Arenales y Cerrito;22;ARENALES y CERRITO;12;18;-34,59447543;-58,37628321
-58,37956612;-34,60029578;Suipacha;Suipacha y Viamonte;23;691 SUIPACHA;12;12;-34,60280939;-58,38223635
-58,38076694;-34,61057222;Alsina;Adolfo Alsina y Bernardo de Irigoyen;24;ALSINA, ADOLFO e IRIGOYEN, BERNARDO DE;18;2;-34,6137215;-58,37767926
-58,41606502;-34,58952073;Plaza Guemes;Salguero Jeronimo y Mansilla;25;SALGUERO, JERONIMO y MANSILLA, LUCIO NORBERTO, GENERAL;24;8;-34,58900656;-58,42230475
-58,36360359;-34,60100069;Juana Manso;Emma de la Barra y Juana Manso;26;DE LA BARRA,  EMMA y MANSO JUANA;24;5;-34,60320526;-58,37034242
-58,389896;-34,59956788;Montevideo;Av. Cordoba y Montevideo;27;CORDOBA AV. y MONTEVIDEO;10;22;-34,59897542;-58,39544593
-58,4123982;-34,62285025;Plaza Boedo;Carlos Calvo entre Virrey Liniers y Sinchez de Loria;28;CALVO, CARLOS y LINIERS VIRREY;12;6;-34,61401247;-58,40832707
-58,43457679;-34,60845904;Parque Centenario;Patricias Argentinas y Carlos Finlay;29;PATRICIAS ARGENTINAS AV. y FINLAY, CARLOS J. AV.;20;10;-34,61326296;-58,42999121
-58,39737836;-34,59039361;Pena;Azcuenaga y Pena;30;AZCUENAGA y PENA;12;1;-34,58845369;-58,39319024
-58,43970922;-34,60316236;Padilla;Padilla y Warnes Av;31;PADILLA y WARNES AV;12;17;-34,59927635;-58,43525663
-58,37353143;-34,6077278;Catedral;San Martin y Rivadavia;32;SAN MARTIN y RIVADAVIA AV.;10;5;-34,60320526;-58,37034242
-58,39871709;-34,59712661;Facultad de Medicina;Uriburu y Marcelo T. de Alvear;33;URIBURU JOSE E. y ALVEAR MARCELO T DE;12;22;-34,59897542;-58,39544593
-58,37415729;-34,59957943;Galerias Pacifico;San Martin 710, entre Viamonte y Cordoba;34;710 SAN MARTIN;10;5;-34,60320526;-58,37034242
-58,37185787;-34,59632739;Ingeniero Butty;Ing. Butty y Leandro N. Alem;35;BUTTY, E., ING. y ALEM, LEANDRO N. AV.;8;18;-34,59447543;-58,37628321
-58,37659603;-34,60536887;Maipu;Maipu y Sarmiento;36;MAIPU y SARMIENTO;10;12;-34,60280939;-58,38223635
-58,37786401;-34,60791436;Piedras;Esmeralda y Rivadavia;37;ESMERALDA y RIVADAVIA AV.;12;2;-34,6137215;-58,37767926
-58,38289538;-34,59699018;Plaza Libertad;Cerrito y Marcelo T. de Alvear;38;CERRITO y ALVEAR, MARCELO T. DE;12;12;-34,60280939;-58,38223635
-58,38765292;-34,60899159;Congreso II;Av Rivadavia y Parani;39;RIVADAVIA AV y PARANA;12;13;-34,61087343;-58,39112781
-58,3733711;-34,60439806;Sarmiento;Sarmiento 481, entre Reconquista y San Martin;40;481 SARMIENTO;10;5;-34,60320526;-58,37034242
-58,40759198;-34,63651941;Urquiza;Gral Urquiza y Rondeau;41;URQUIZA, GRAL. y RONDEAU;12;9;-34,63585199;-58,40822621
-58,37965184;-34,60464174;Diagonal Norte;Roque Sienz Pena y Suipacha;42;SAENZ PENA ROQUE AV y SUIPACHA;24;12;-34,60280939;-58,38223635
-58,39852145;-34,59918985;Plaza Houssay;Plaza Houssay;43;CORDOBA AV. y URIBURU JOSE E., PRES.;8;22;-34,59897542;-58,39544593
-58,41459488;-34,57548532;Zoologico;Av Del Libertador y Av Sarmiento;44;AV DEL LIBERTADOR y AV SARMIENTO;12;11;-34,57416223;-58,41699018
